Sunda;Terjemahan;Thesaurus 1;Thesaurus 2;Thesaurus 3
cengkat ; bangkit, bangun;gugah ; wangun ; geing
cengkir ; kelapa yang masih kecil, buah cengkir, salah satu macam mangga; ;  ; 
cengkrong ; agak bengkok (kaki at tangan); ;  ; 
cental; bertengkar, berbantah;pacental-cental ; pasea ; pacogregan
pacental-cental ; bertengkar, berbantah;cental ; pasea ; pacogregan
centang ; sentil; ;  ; 
centang; membidik untuk menembak atau memanah;nyentang ;  ; 
nyentang ; membidik untuk menembak atau memanah;centang ;  ; 
centil ; genit;purunyus ;  ; 
centok ; menarik tiba-tiba, sentak; ;  ; 
cepak ; rata bagian atasnya (potongan rambut), dikalahkan;eleh ; kawon ; keok
cepet ; lurus (lurus ke timur, lurus ke barat, dsb), cepat;bebeur ; bayabah. ngabayabah ; bekeh
cepet (curek) ; jepit;capit ;  ; 
cepil ; telinga;ceuli ;  ; 
ceplak; dikatakan terus terang kepada yang bersangkutan;diceplakeun ;  ; 
diceplakeun ; dikatakan terus terang kepada yang bersangkutan;ceplak ;  ; 
ceples; sama betul, persis, serupa (gambar at potret dengan aslinya, anak dengan salah seorang tuanya atau saudaranya);nyeples ; nambleg ; 
nyeples ; sama betul, persis, serupa (gambar at potret dengan aslinya, anak dengan salah seorang tuanya atau saudaranya);ceples ; nambleg ; 
ceret ; percik, titik air yang berhamburan; ;  ; 
cerewed ; cerewet, banyak mulut; ;  ; 
cerewing ; rambut atau daun yang jarang; ;  ; 
cerong; muka yang kotor penuh dengan coreng moreng;curang-cerong ; cu ; 
curang-cerong; muka yang kotor penuh dengan coreng moreng;cerong ; cu ; 
cu ; muka yang kotor penuh dengan coreng moreng;cerong ; curang-cerong ; 
cetek ; gampang, tidak penting; ;  ; 
cetrok; kata untuk menggigit makanan yang agak keras (jambu, mangga muda, terung, dsb);celetrok ; pakel ; bebeur
celetrok ; kata untuk menggigit makanan yang agak keras (jambu, mangga muda, terung, dsb);cetrok ; pakel ; bebeur
cetuk; banyak ubannya, rambutnya sudah hampir memutih;cetuk dawuk ;  ; 
cetuk dawuk; banyak ubannya, rambutnya sudah hampir memutih;cetuk ;  ; 
cetuk ; banyak ubannya, rambutnya sudah hampir memutih;cetuk dawuk ;  ; 
ceubrik ; becek, ada air yang tergenang;amlongan ; belok ; cabrek
ceuceub ; benci;ngewa ; caria ; 
ceuceuh ; air biasa atau air obat untuk membasahi rambut; ;  ; 
ceudeum ; mendung;angkeub ;  ; 
ceuk ; kata;saur ; basana ; carek
ceuleupeung ; tolol, dungu;belegug ; bolon ; belengong
ceuleuyeu ; lesu, lemah karena sudah mengantuk (terlihat pada matanya);caleuy ;  ; 
ceuli ; telinga;cepil ;  ; 
ceumpal ; lap; ;  ; 
ceungceum ; menyiapkan benih atau bibit tempat yang lembab sebelum ditanam,; ;  ; 
ceurik ; menangis; ;  ; 
ceuyah ; banyak karena sedang musim (buah-buahan); ;  ; 
ciak ; anak ayam; ;  ; 
cibulakan ; mata air yg besar; ;  ; 
cicing ; diam, tinggal, menetap;dumuk ; linggih ; lungguh
cicintrang ; sedikit sekali, sangat sedikit (memberi, membawa, mengirim);ngabantun ; baan ; bantun
cidra ; tidak menepati janji; ;  ; 
ciduh ; ludah; ;  ; 
cika-cika ; kunang-kunang; ;  ; 
cikal ; sulung;barep pangrarep ;  ; 
cikal bugang ; yg pertama gugur di medan perang; ;  ; 
cikibung;" memainkan air dengan dipukul-pukul sambil mandi disungai, empang, dsb yang menimbulkan suara ""cikicik bung"", bergendang air";icikibung ;  ; 
icikibung ;" memainkan air dengan dipukul-pukul sambil mandi disungai, empang, dsb yang menimbulkan suara ""cikicik bung"", bergendang air";cikibung ;  ; 
cikikik ; kata untuk tertawa yang ditahan; ;  ; 
cikruh ; banyak airnya dan tampaknya enak (jeruk garut, gulai, dsb);bebeur ; bayabah. ngabayabah ; bekeh
cikur ; kencur; ;  ; 
cilaka ; celaka;keur bentang surem ; ngabebeskeun ; 
cileuh ; kotoran mata yang menempel pada ujung mata, biasanya pada waktu bangun tidur; ;  ; 
cileung ; gerak mata dan atau dengan kepala, 2 roman muka; ;  ; 
cileureun ; lengah, lalai, kurang perhatian;bongoh ;  ; 
cilimit ; suka mempermainkan (terutama mengganggu perempuan), suka berbuat menimbulkan kecelakaan kecil bagi orang lain; ;  ; 
cilingcingcat ; naik-turun, keluar masuk rumah karena tidak sabar menunggu yang akan datang; ;  ; 
cindek ; tetap, tentu, pasti;dengdeng ; mowande ; anggeuhan
cindul ; pinggir mata membengkak kerena lama menangis; ;  ; 
cindung ; kerudung; ;  ; 
cindutrung; lama berjongkok;cinutrung ;  ; 
cinutrung ; lama berjongkok;cindutrung ;  ; 
cingceng ; gesit;cangker ;  ; 
cingcin ; cincin;ali ; lelepen ; 
cingir ; kelingking; ;  ; 
cingked; pincang;cingkud ; dingkut ; 
cingkud ; pincang;cingked ; dingkut ; 
cipruk ; basah;baseuh ;  ; 
ciri ; tanda;tawis ;  ; 
cirit ; tahi (burung, kelelawar, dsb);kalong ; bebeur ; bayabah. ngabayabah
citak ; cetak; ;  ; 
ciwit ; cubit;nyiwit ;  ; 
cobi ; coba;doja ; dodoja ; mecakan
cobrok ; jorok,gegabah;odoh ; orowodol ; 
coceng ; kurang atau berkurang; ;  ; 
cocoh ; puas, sukur (perkataan yang diucapkan kepada musuh yang mendapat kecelakaan); ;  ; 
coer; memindahkan barang kecil dengan ujung tongkat;nyoer ;  ; 
nyoer ; memindahkan barang kecil dengan ujung tongkat;coer ;  ; 
coet ; cobek; ;  ; 
cokel ; cungkil; ;  ; 
cokor ; kaki;ceker ; sampean ; suku
cokot ; ambil;candak ; ala ; ngala
cokrok ; mengeluarkan makanan dengan jalan diisap (telur, sumsum, siput, dsb), mengeluarkan kotoran dengan pakaian pada waktu mencuci dengan jalan ditekan-tekan;bebeur ; bayabah. ngabayabah ; bekeh
cokrom ; tebal serta menutupi bibir (kumis); ;  ; 
cologog ; tidak tahu sopan santun;belegug ; culangung ; 
colok ; jotos; ;  ; 
combrek ; dingin (dikamar mandi), sepi (keadaan di kampung); ;  ; 
comel ; banyak omong; ;  ; 
comot ; mengambil sedikit; ;  ; 
congcolang; jauh melebihi orang lain (kepandaian), jauh mendahului orang lain (balap kuda, sepeda, dsb);nyongcolang ; bebeur ; bayabah. ngabayabah
nyongcolang ; jauh melebihi orang lain (kepandaian), jauh mendahului orang lain (balap kuda, sepeda, dsb);congcolang ; bebeur ; bayabah. ngabayabah
congcorang ; belalang sembah; ;  ; 
congcot ; nasi tumpeng yang berbentuk kerucut; ;  ; 
conggah ; sudah kenal baik, sudah kenal betul, akrab sekali; ;  ; 
conggang ; celah-celah pada pelupuh rumah panggung; ;  ; 
coo; mempermainkan (mainan, boneka, ayam, burung, dsb);nyoo ; hayam ; manuk
nyoo ; mempermainkan (mainan, boneka, ayam, burung, dsb);coo ; hayam ; manuk
coplok ; lepas dari tempatnya (mata cincin, kuku, dsb);tanggay ; bebeur ; bayabah. ngabayabah
copong ; bolong; ;  ; 
corelang; belang, loreng;borelang ; roren ; 
borelang; belang, loreng;corelang ; roren ; 
roren ; belang, loreng;corelang ; borelang ; 
corengcang ; jarang, orang sedikit ditempat luas;carang ; carengcang ; 
corowok at gorowok ; teriak, berteriak;gerewek ; ngagerewek ; gorowok
cuang-cieung ; tidak ada sanak saudara, seorang diri, tidak ada kawan yang dikenal; ;  ; 
cucuk ; duri; ;  ; 
cucul-cucul ; membuka pakaian atau menanggalkan pakaian; ;  ; 
cucungah ; songong, kurang ajar;bangkawarah ; cala-culu ; culangung
cucunguk ; kecoa; ;  ; 
cucutik ; alat untuk mengaduk atau mencolek dodol dsb; ;  ; 
cudek ; lokek, kikir, bedebut;cecel ; koret ; medit
cukang ; jembatan;rawayan ; sasak ; 
culangung ; kurang ajar, tidak tahu sopan santun;bangkawarah ; cala-culu ; cucungah
cumaricip ; merasa agak jijik; ;  ; 
cumpong ; cukup;cekap ; euleum ; 
cunduk ; sampai, datang, tiba;anjog ; datang ; dongkap
cungur ; hidung binatang (sapi, kerbau, dsb), buka mulut;munding ; bebeur ; bayabah. ngabayabah
cunihin ; kurang ajar;bangkawarah ; cala-culu ; cucungah
cuplak ; buka;muka ; ablag ; boker
cupu ; kotak; ;  ; 
curak-curak ; makan-makan sambil senang-senang, berfoya-foya;borak-borak ;  ; 
curaling ; suka mencuri, tidak bisa dipercaya;ceceremed ;  ; 
cureuleuk ; mata yang bersih, besarnya sedang dan bagus; ;  ; 
curinghak ; sikap memperlihatkan kewaspadaan, pasang telinga dan mata karena mendengar sesuatu yang mengejutkan atau mencurigakan; ;  ; 
curuk ; telunjuk; ;  ; 
deet ; dangkal; ;  ; 
deang; berdiang;sideang ;  ; 
sideang ; berdiang;deang ;  ; 
dek ; 1 akan, hendak, geladak (kapal);cahak ;  ; 
demplon ; bangun tubuh yg elok dan berisi demplu; ;  ; 
denge; mendengar;ngadenge ; dangu ; ngadangu
ngadenge ; mendengar;denge ; dangu ; ngadangu
dengdek ; miring, condong;miring ;  ; 
dengkak; duduk dng kaki sebelah-menyebelah (naik kuda dsb);ngadengkak ;  ; 
ngadengkak ; duduk dng kaki sebelah-menyebelah (naik kuda dsb);dengkak ;  ; 
deres ; sering melawrkan, ngaderes melancarkan mernbaca aj quran; ;  ; 
dewek; saya;abdi ; kaula ; kuring
dadalan ; sebab, lantaran;lantaran ; babi ; 
dadali ; burung garuda; ;  ; 
dadampar ; alas utk rnenernpatkan barang agar tidak kotor at tidak kena tanah; ;  ; 
dadas ; terlihat dasarnya,baret,jelas sarnpai kpd hal sekccil-kecilnya; ;  ; 
daek ; mau melaksanakan, rajin, senang bekerja;getol ; hideng ; 
dagleg ; menempel agak tebal (iemak. daki dsb); ;  ; 
dago ; tunggu;anti ; antos ; ngadogoan
dago; menunggu, menanti, tunggu, ditunggu-tunggu;ngadogoan ; dagoan ; nganti
ngadogoan; menunggu, menanti, tunggu, ditunggu-tunggu;dago ; dagoan ; nganti
 dagoan; menunggu, menanti, tunggu, ditunggu-tunggu;dago ; ngadogoan ; nganti
dahar ; makan;celebek ; neda ; tuang
dahar; makan, memakan, makanan, perut;ngadahar ; kadahara ; celebek
ngadahar; makan, memakan, makanan, perut;dahar ; kadahara ; celebek
kadahara ; makan, memakan, makanan, perut;dahar ; ngadahar ; celebek
dahdal; dibuka jahitannya karena terlalu sempit at mau diubah (pakaian);didahdal ; didahda ; 
didahdal; dibuka jahitannya karena terlalu sempit at mau diubah (pakaian);dahdal ; didahda ; 
didahda ; dibuka jahitannya karena terlalu sempit at mau diubah (pakaian);dahdal ; didahdal ; 
dahdir ; iler; ;  ; 
dahuan ; kakak ipar; ;  ; 
dahup; kawin, nikah;dabut ; didahut ; nikah
dabut; kawin, nikah;dahup ; didahut ; nikah
didahut ; kawin, nikah;dahup ; dabut ; nikah
dakom: ngadakom ; rnenengkurap (biuatang); ;  ; 
daksa. tanpadaksa ; tidak lengkap at cacat salahsatu anggota; ;  ; 
daku. dadaku ; pura-pura, membohong;api-api ; bohong ; rahul
dalah; walaupun, biarpun, lia utk me nandakan sudah tidak berdaya lagi,  mau apa lagi,ka utk menandakan kegembiraan yg tiba-tiba;ladalah ; lakadala ; cacak at cacakan
ladalah; walaupun, biarpun, lia utk me nandakan sudah tidak berdaya lagi,  mau apa lagi,ka utk menandakan kegembiraan yg tiba-tiba;dalah ; lakadala ; cacak at cacakan
 lakadala ; walaupun, biarpun, lia utk me nandakan sudah tidak berdaya lagi,  mau apa lagi,ka utk menandakan kegembiraan yg tiba-tiba;dalah ; ladalah ; cacak at cacakan
dalak; mendatangi orang yg rnenyaklti at yg membuat malu utk. rnernbalas dendam;ngadalak ;  ; 
ngadalak ; mendatangi orang yg rnenyaklti at yg membuat malu utk. rnernbalas dendam;dalak ;  ; 
dalapan ; delapan; ;  ; 
dama; dipelihara dan dijaga hati-hati sekali, dijaga dan dipelihara baik-baik;didama-dama ;  ; 
didama-dama ; dipelihara dan dijaga hati-hati sekali, dijaga dan dipelihara baik-baik;dama ;  ; 
damang ; sembuh,  sehat;cageur ; cangker ; jagjag
damar ; lampu; ;  ; 
damas ; kaln at bahan pakaian yg kembang-kembangnya ditenun; ;  ; 
damel ; kerja;gawe ; didamel ; 
damel; kerja, buat, bekerja, dibuat;didamel ; gawe ; ajang
didamel ; kerja, buat, bekerja, dibuat;damel ; gawe ; ajang
dami ; ukuran sekau menarik napas, sepakat, badamil, berunding, musyawarah;badami ; barempug ; musawarah
damis ; pipi; ;  ; 
damna sabar; sabar, sekali, besar pertimbangannya;sabar sarana ; kalintang ; 
sabar sarana ; sabar, sekali, besar pertimbangannya;damna sabar ; kalintang ; 
dampal ; kaki,   telapak kaki (kaki at tangan) dampal gambaral;ceker ; cokor ; sampean
dampar ; tempat duduk raja pd jaman dahulu, spt lesnar emas at berlapis emas, sebelah atasnya berlapis beludru; ;  ; 
danakal ; matang tapi keras (buahbuahan), opdaogkat .sengaja,-+ hagal; ;  ; 
dangah ; agak menengadah; ;  ; 
dangan ; mudah, ringan (pekerjaan);babari ; gampang ; gampil
dangdan ; berdandan, berhias diri, bersolek; ;  ; 
dangdangrat ; peralihan antara musim penghujan dan musim kemarau; ;  ; 
dangdos ; rias; ;  ; 
danget ; saat;heuleut ; mangsa ; waktuna
danggeuak at dangheuak; duduk sambi! melentingkan punggung dicondongkan ke belakang;n ;  ; 
n ; duduk sambi! melentingkan punggung dicondongkan ke belakang;danggeuak at dangheuak ;  ; 
dangiang at danghyang ; sb mahluk halus yg menyebabkan kampung at rumah terasa menarik at membuat betah penghuninya; ;  ; 
dangoog; sikap: alus baik dkapnya, berdiri dng muka agak mendongak;ogadangong. ;  ; 
ogadangong.; sikap: alus baik dkapnya, berdiri dng muka agak mendongak;dangoog ;  ; 
dangu ; dengar;denge ; kuping ; ngadangu
dangu; dengar, mendengar;ngadangu ; denge ; kuping
ngadangu ; dengar, mendengar;dangu ; denge ; kuping
daogkak ; telentang dng kaki direnggangkan; ;  ; 
dapang; menelungkup, menlarap, menengkurap;ngadapang ;  ; 
ngadapang ; menelungkup, menlarap, menengkurap;dapang ;  ; 
dapon at darpon ; agar, supaya, udak sungguh-sungguh, asal saja;ambeh ; sangkan ; supados
daradad ; ka utk bercerita panjang lebar; ;  ; 
darehdeh ; ramah; ;  ; 
dari ; ti; ;  ; 
daria ; sungguh-sungguh; ;  ; 
daripada ; daripada;batan at tibatan ;  ; 
dasta; menghadapkeun pegawai ked kpd pembesar;ngadastakeun ;  ; 
ngadastakeun ; menghadapkeun pegawai ked kpd pembesar;dasta ;  ; 
datang ; sampai;anjog ; cunduk ; 
daweung ; sikap:; ;  ; 
dawuan ; saluran air dr kali ke sawah at ke kamp.ung; ;  ; 
dawuh; menunggu-nunggu panggilan tuban (yg akan mati),  saat yg baik;bh ujar ; kata ; pan
bh ujar; menunggu-nunggu panggilan tuban (yg akan mati),  saat yg baik;dawuh ; kata ; pan
kata; menunggu-nunggu panggilan tuban (yg akan mati),  saat yg baik;dawuh ; bh ujar ; pan
pan ; menunggu-nunggu panggilan tuban (yg akan mati),  saat yg baik;dawuh ; bh ujar ; kata
dawuk; abu-abu (warna bulu kuda),  kuda yg wama bulunya abu-abu tua atau abu-abu kehitam-hitaman;dawuk ruyung ;  ; 
dawuk ruyung ; abu-abu (warna bulu kuda),  kuda yg wama bulunya abu-abu tua atau abu-abu kehitam-hitaman;dawuk ;  ; 
dawung; digunting, d!potong supaya bagus (kumis);didawung ;  ; 
 didawung ; digunting, d!potong supaya bagus (kumis);dawung ;  ; 
dayagdag; duduk dng badan sedikit bersandar ke belakang,  akan menjengkang at akan jatuh terien tang;ngadayagdag ;  ; 
ngadayagdag ; duduk dng badan sedikit bersandar ke belakang,  akan menjengkang at akan jatuh terien tang;dayagdag ;  ; 
dayang ; dahulu gelar perempuan yg terhormat (dayang sumbi, sanghiang sri dangdayang tresnawati at dewi sri),  sekarang wanita tuna susila; ;  ; 
dayeuh ; ibu kota negara at kabupaten; ;  ; 
dedeg ; dikatakan kpd tubuh orang yg tegap dan kuat; ;  ; 
dedek dedak ; bagian yg mengendap dr barang eair; ;  ; 
dedel; 1 menjejali (bantal at kasur dng kapuk),   menginjak tanah dng keras;ngadedel ;  ; 
ngadedel ; 1 menjejali (bantal at kasur dng kapuk),   menginjak tanah dng keras;dedel ;  ; 
dedengkot ; yg paling sigap dan teibanyak peogalamannya dl peneak silat dsb; ;  ; 
dedet; memaksa memasukkan barang kpd tempat yg sudah penuh at kpd barang iain yg keras, juaj dedet, menjual setengah memaksa;ngadedetkeun ;  ; 
ngadedetkeun ; memaksa memasukkan barang kpd tempat yg sudah penuh at kpd barang iain yg keras, juaj dedet, menjual setengah memaksa;dedet ;  ; 
degdegle ; mudilh memukul dan tanpa bdas kasihan; ;  ; 
deger. ngadeger ; bekerja sekuat tenaga; ;  ; 
degig ; tidak mau menegur kpd orang yg sudah dikenal; ;  ; 
dekem; dekam, mendekam;ngadekem ;  ; 
ngadekem ; dekam, mendekam;dekem ;  ; 
deker ; ka utk mengerjakan sesuatu pekerjaan dllg khusyuk; ;  ; 
dekil ; penuh kotoran at penuh daki; ;  ; 
dekok ; dikatakan kpd bentuk yg tiâ· dak ada batang hidungnya dan mata yg eekung ke dalam; ;  ; 
deku; beriutut;sideku ;  ; 
sideku ; beriutut;deku ;  ; 
dekul; bekerja dng tekun tanpa menoleh ke kiri at ke kanan;ngadekil ;  ; 
ngadekil ; bekerja dng tekun tanpa menoleh ke kiri at ke kanan;dekul ;  ; 
deleh ; lihat;bireungeuh ; deuleu ; irong
delek; mengggerakkan mata menandakan tidak setuju at benci;ngadelek ;  ; 
ngadelek ; mengggerakkan mata menandakan tidak setuju at benci;delek ;  ; 
deleka ; khianat, senang meneelakakan yg lain; ;  ; 
delit at delitan ; mudahdah tersinggung, sulit dipenuhi kemauannya; ;  ; 
demes ; pesek (hidung); ;  ; 
demi ; adapun;mungguh ;  ; 
demit ; tersembunyi rapat hingga sulit diketahui, dedemit makhluk halus; ;  ; 
dempes; tidak memperlihatkan diri dan tidak bersuara agar tiliak ketahuan;ngadempes ;  ; 
ngadempes ; tidak memperlihatkan diri dan tidak bersuara agar tiliak ketahuan;dempes ;  ; 
dempet; menghimpit sambi.! rnenekan;ngadempet ;  ; 
ngadempet ; menghimpit sambi.! rnenekan;dempet ;  ; 
dempak ; rata bagian atasnya .; ;  ; 
dempes ; habis bagian yg dapat dipotong at dipangkas (kllkll, rumput, rarnbut, clsb); ;  ; 
demplu ; gemuk tidak pantas; ;  ; 
dengek; menjerit, mengeluarkan suam [arik karena merasa sakit at takut;ngadengek ; goak ; ngagoak
ngadengek ; menjerit, mengeluarkan suam [arik karena merasa sakit at takut;dengek ; goak ; ngagoak
dengdeng ; tetap, tidak berubah;cindek ; namung ; 
denge ; dengar;dangu ; kuping ; ngadangu
dengkek; menutup at menyumbat jalan air, agar sawah tidak mendapat air,;ngadengkek ;  ; 
ngadengkek ; menutup at menyumbat jalan air, agar sawah tidak mendapat air,;dengkek ;  ; 
dengkeng ; dikatakan kpd orang at binatang (kuda) yg tulang belakangnya agak lengkung ke depan; ;  ; 
dengklang; duduk, berdiri at beijalan sambil agak mendongak;ngadengklang ; calik ; diuk
ngadengklang ; duduk, berdiri at beijalan sambil agak mendongak;dengklang ; calik ; diuk
dengkleung ; utk beijalan di tempat yg menurun,; ;  ; 
dengkluk; menunduk tiba-tiba karena terkilir;ngadengkluk ;  ; 
ngadengkluk ; menunduk tiba-tiba karena terkilir;dengkluk ;  ; 
dengkut at dingkut ; agak pincang deog -> pengkor, timpang; ;  ; 
depek ; rendah langit-langitnya (rumah); ;  ; 
depong; mendekam tanda honnat,;ngadepong ;  ; 
ngadepong ; mendekam tanda honnat,;depong ;  ; 
deregded ; ka utk lari, - lumpat (lari); ;  ; 
deres at redes; berjajar;ngaderess ; godos ; 
ngaderess ; berjajar;deres at redes ; godos ; 
derewis ; peminta-rninta, pengemis; ;  ; 
deruk; tampak sedih, susah, nguyung;ngaderuk ; hese ; sesah
ngaderuk ; tampak sedih, susah, nguyung;deruk ; hese ; sesah
deseh; kalah perang,;kadeseh ;  ; 
kadeseh ; kalah perang,;deseh ;  ; 
desek; desak, mendesak;ngadesek ; anseg ; guliksek
ngadesek ; desak, mendesak;desek ; anseg ; guliksek
detik ; detik; ;  ; 
deudeug; mengerumuni suatu kejadian yg mengagetkan (perkelahian pertengkaran dsb);ngadeugdeug ;  ; 
ngadeugdeug ; mengerumuni suatu kejadian yg mengagetkan (perkelahian pertengkaran dsb);deudeug ;  ; 
deudeuh ; sayang;geugeut ; lebar ; nyaah
deudeuh; sayang, menyayangi;mikadeudeuh ; geugeut ; lebar
mikadeudeuh ; sayang, menyayangi;deudeuh ; geugeut ; lebar
deudeul; tiang pendek di bawah galar, ki mendukung, membantu;ngadeudeul ; badega ; bantos
ngadeudeul ; tiang pendek di bawah galar, ki mendukung, membantu;deudeul ; badega ; bantos
deudeupeun ; kaget, heran, khawatir:;aeh ; soak ; hemeng
deuheus bl dekat; mendatangi orang yg lebili tua at majikan;ngadeuh ;  ; 
ngadeuh ; mendatangi orang yg lebili tua at majikan;deuheus bl dekat ;  ; 
deui ; lagi; ;  ; 
deukeut ; dekat;idek ;  ; 
deuleu ; lihat;bireungeuh ; deleh ; irong
deungeun ; teman, kawan , teman nasi,;babaturan ; balad ; rencang
deungeun sangu; lauk-pauk; ;  ; 
deungeun-deungeun ; orang lain (bukan kerabat); ;  ; 
deungeunna ; lauk pauk; ;  ; 
deupa ; depa; ;  ; 
dewang ; sobek besar at luka besar; ;  ; 
dewek ; saya;abdi ; kaula ; kuring
di ; di; ;  ; 
di dieu ; disini;beresin ; dieu ; mesin
di manten ; dimana;ke mana ; ke manten ; mana
dia ; manehna; ;  ; 
diajar ; belajar; ;  ; 
dialung boyongkeun ; dilempar (disuruh) ke sana- ke sini; ;  ; 
dianggir ; keramas; ;  ; 
dianggit ; diansir; ;  ; 
dibadeuran ; diganggu;gamah ;  ; 
dibejer beaskeun ; diterangkan sampai jelas betul;bejer ; dibejer-beaskeun ; 
dibuang ; dihukum oleh negara dan dijauhkan dr kampung halamannya; ;  ; 
dibuat ; menuai padi; ;  ; 
dicadong dialas ; dibatasi (makanan utk pesakitan); ;  ; 
dicagerana ; dibatasi, tidak boleh sewenang-wenang mengambil rnakanan, uang, dsb);artos ; duit ; bebeur
dicapaan ; diraba-raba, disasar;gupuy-gapay ;  ; 
dicawisan ; disediakan; ;  ; 
diemple-emple ; dltekan pelanpelan supaya menjadi tipis dan melebar; ;  ; 
dieu ; sini;beresin ; di dieu ; mesin
digdig. ngadidig ; berjalan cepat penuh semangat; ;  ; 
digjaya ; sakti; ;  ; 
digleu; berjajan perlahanlahan. tampak spt berat melankah kaki;ngadigleu ;  ; 
ngadigleu ; berjajan perlahanlahan. tampak spt berat melankah kaki;digleu ;  ; 
dihin lebih dahulu; segala sewatu yang teralami sekarang sudalt ditakdirkan tuhan yang maha esa;#NAME? ;  ; 
- din ; segala sewatu yang teralami sekarang sudalt ditakdirkan tuhan yang maha esa;dihin lebih dahulu ;  ; 
